row,column,row_offset,column_offset,text,row_height_feet,column_width_feet,is_merged,merge_top,merge_left,merge_bottom,merge_right,text_size,is_bold,horizontal_alignment,vertical_alignment
9,4,9,4,-,0.020833333333333336,0.030966850693630685,True,9,4,10,4,,,,
9,5,9,5,"3/4""",0.020833333333333336,0.030966850693630685,True,9,5,10,5,,,,
9,6,9,6,-,0.020833333333333336,0.062770643297900025,True,9,6,10,6,,,,
9,7,9,7,-,0.020833333333333336,0.049898476712277338,True,9,7,10,7,,,,
9,8,9,8,F_,0.020833333333333336,0.02615443470745835,True,9,8,9,8,,,,
9,9,9,9,C_,0.020833333333333336,0.02615443470745828,True,9,9,9,9,,,,
9,10,9,10,10,0.020833333333333336,0.041847095531933352,True,9,10,9,10,,,,
10,0,10,0,,0.020833333333333336,0.021795362256215287,True,9,0,10,1,,,,
10,1,10,1,,0.020833333333333336,0.10374592433958478,True,9,0,10,1,,,,
10,2,10,2,,0.020833333333333336,0.06015938453670739,True,9,2,10,2,,,,
10,3,10,3,,0.020833333333333336,0.047705688906404017,True,9,3,10,3,,,,
10,4,10,4,,0.020833333333333336,0.030966850693630685,True,9,4,10,4,,,,
10,5,10,5,,0.020833333333333336,0.030966850693630685,True,9,5,10,5,,,,
10,6,10,6,,0.020833333333333336,0.062770643297900025,True,9,6,10,6,,,,
10,7,10,7,,0.020833333333333336,0.049898476712277338,True,9,7,10,7,,,,
10,8,10,8,S_,0.020833333333333336,0.02615443470745835,True,10,8,10,8,,,,
10,9,10,9,W,0.020833333333333336,0.02615443470745828,True,10,9,10,9,,,,
10,10,10,10,,0.020833333333333336,0.041847095531933352,True,10,10,10,10,,,,
11,0,11,0,"Grade beams, Tiebeams, Stem Walls",0.020833333333333336,0.021795362256215287,True,11,0,12,1,,,,
11,1,11,1,,0.020833333333333336,0.10374592433958478,True,11,0,12,1,,,,
11,2,11,2,--,0.020833333333333336,0.06015938453670739,True,11,2,12,2,,,,
11,3,11,3,-,0.020833333333333336,0.047705688906404017,True,11,3,12,3,,,,
11,4,11,4,-,0.020833333333333336,0.030966850693630685,True,11,4,12,4,,,,
11,5,11,5,"3/4""",0.020833333333333336,0.030966850693630685,True,11,5,12,5,,,,
11,6,11,6,-,0.020833333333333336,0.062770643297900025,True,11,6,12,6,,,,
11,7,11,7,-,0.020833333333333336,0.049898476712277338,True,11,7,12,7,,,,
11,8,11,8,F_,0.020833333333333336,0.02615443470745835,True,11,8,11,8,,,,
11,9,11,9,C_,0.020833333333333336,0.02615443470745828,True,11,9,11,9,,,,
11,10,11,10,"5, 11",0.020833333333333336,0.041847095531933352,True,11,10,11,10,,,,
12,0,12,0,,0.020833333333333336,0.021795362256215287,True,11,0,12,1,,,,
12,1,12,1,,0.020833333333333336,0.10374592433958478,True,11,0,12,1,,,,
12,2,12,2,,0.020833333333333336,0.06015938453670739,True,11,2,12,2,,,,
12,3,12,3,,0.020833333333333336,0.047705688906404017,True,11,3,12,3,,,,
12,4,12,4,,0.020833333333333336,0.030966850693630685,True,11,4,12,4,,,,
12,5,12,5,,0.020833333333333336,0.030966850693630685,True,11,5,12,5,,,,
12,6,12,6,,0.020833333333333336,0.062770643297900025,True,11,6,12,6,,,,
12,7,12,7,,0.020833333333333336,0.049898476712277338,True,11,7,12,7,,,,
12,8,12,8,S_,0.020833333333333336,0.02615443470745835,True,12,8,12,8,,,,
12,9,12,9,W,0.020833333333333336,0.02615443470745828,True,12,9,12,9,,,,
12,10,12,10,,0.020833333333333336,0.041847095531933352,True,12,10,12,10,,,,
13,0,13,0,Foundation Walls not integral to pilasters & columns,0.025000000000000001,0.021795362256215287,True,13,0,14,1,,,,
13,1,13,1,,0.025000000000000001,0.10374592433958478,True,13,0,14,1,,,,
13,2,13,2,--,0.025000000000000001,0.06015938453670739,True,13,2,14,2,,,,
13,3,13,3,-,0.025000000000000001,0.047705688906404017,True,13,3,14,3,,,,
13,4,13,4,-,0.025000000000000001,0.030966850693630685,True,13,4,14,4,,,,
13,5,13,5,"3/4""",0.025000000000000001,0.030966850693630685,True,13,5,14,5,,,,
13,6,13,6,-,0.025000000000000001,0.062770643297900025,True,13,6,14,6,,,,
13,7,13,7,-,0.025000000000000001,0.049898476712277338,True,13,7,14,7,,,,
13,8,13,8,F_,0.025000000000000001,0.02615443470745835,True,13,8,13,8,,,,
13,9,13,9,C_,0.025000000000000001,0.02615443470745828,True,13,9,13,9,,,,
13,10,13,10,11,0.025000000000000001,0.041847095531933352,True,13,10,13,10,,,,
14,0,14,0,,0.025000000000000001,0.021795362256215287,True,13,0,14,1,,,,
14,1,14,1,,0.025000000000000001,0.10374592433958478,True,13,0,14,1,,,,
14,2,14,2,,0.025000000000000001,0.06015938453670739,True,13,2,14,2,,,,
14,3,14,3,,0.025000000000000001,0.047705688906404017,True,13,3,14,3,,,,
14,4,14,4,,0.025000000000000001,0.030966850693630685,True,13,4,14,4,,,,
14,5,14,5,,0.025000000000000001,0.030966850693630685,True,13,5,14,5,,,,
14,6,14,6,,0.025000000000000001,0.062770643297900025,True,13,6,14,6,,,,
14,7,14,7,,0.025000000000000001,0.049898476712277338,True,13,7,14,7,,,,
14,8,14,8,S_,0.025000000000000001,0.02615443470745835,True,14,8,14,8,,,,
14,9,14,9,W,0.025000000000000001,0.02615443470745828,True,14,9,14,9,,,,
14,10,14,10,,0.025000000000000001,0.041847095531933352,True,14,10,14,10,,,,
15,0,15,0,Foundation Walls integral to pilasters or supporting concrete columns,0.03333333333333334,0.021795362256215287,True,15,0,16,1,,,,
15,1,15,1,,0.03333333333333334,0.10374592433958478,True,15,0,16,1,,,,
15,2,15,2,--,0.03333333333333334,0.06015938453670739,True,15,2,16,2,,,,
15,3,15,3,-,0.03333333333333334,0.047705688906404017,True,15,3,16,3,,,,
15,4,15,4,-,0.03333333333333334,0.030966850693630685,True,15,4,16,4,,,,
